state,date,new_results_reported,total_results_reported,Longitude,Latitude
GA,10/12/2020,1266,306654,-83.426574,32.638481
LA,10/12/2020,807,272231,-91.840238,30.921314
CA,10/12/2020,1160,909834,-119.662127,37.211164
MD,10/13/2020,1392,225153,-76.687282,38.946466
GA,10/13/2020,1548,308202,-83.426574,32.638481
NY,10/13/2020,1417,554970,-75.59655,42.921241
OH,10/13/2020,1808,186753,-82.70936,40.415534
WA,10/13/2020,487,87413,-120.592492,47.411715
FL,10/13/2020,2780,1192638,-82.420978,28.260731
CA,10/13/2020,674,910508,-119.662127,37.211164
LA,10/13/2020,973,273204,-91.840238,30.921314
WA,10/14/2020,354,87767,-120.592492,47.411715
MD,10/14/2020,894,226047,-76.687282,38.946466
GA,10/14/2020,1389,309591,-83.426574,32.638481
NY,10/14/2020,1954,556924,-75.59655,42.921241
CA,10/14/2020,646,911154,-119.662127,37.211164
FL,10/14/2020,2630,1195268,-82.420978,28.260731
OH,10/14/2020,2336,189089,-82.70936,40.415534
LA,10/14/2020,1065,274269,-91.840238,30.921314
LA,10/15/2020,978,275247,-91.840238,30.921314
GA,10/15/2020,1489,311080,-83.426574,32.638481
WA,10/15/2020,502,88269,-120.592492,47.411715
MD,10/15/2020,1383,227430,-76.687282,38.946466
NY,10/15/2020,1899,558823,-75.59655,42.921241
CA,10/15/2020,2774,913928,-119.662127,37.211164
FL,10/15/2020,3841,1199109,-82.420978,28.260731
OH,10/15/2020,2325,191414,-82.70936,40.415534
MD,10/16/2020,1499,228929,-76.687282,38.946466
NY,10/16/2020,1890,560713,-75.59655,42.921241
LA,10/16/2020,867,276114,-91.840238,30.921314
OH,10/16/2020,2144,193558,-82.70936,40.415534
CA,10/16/2020,3950,917878,-119.662127,37.211164
FL,10/16/2020,4013,1203122,-82.420978,28.260731
GA,10/16/2020,1468,312548,-83.426574,32.638481
WA,10/16/2020,508,88777,-120.592492,47.411715
GA,10/17/2020,716,313264,-83.426574,32.638481
OH,10/17/2020,2054,195612,-82.70936,40.415534
CA,10/17/2020,3406,921284,-119.662127,37.211164
NY,10/17/2020,1473,562186,-75.59655,42.921241
MD,10/17/2020,1168,230097,-76.687282,38.946466
WA,10/17/2020,437,89214,-120.592492,47.411715
LA,10/17/2020,708,276822,-91.840238,30.921314
FL,10/17/2020,3117,1206239,-82.420978,28.260731
FL,10/18/2020,2396,1208635,-82.420978,28.260731
GA,10/18/2020,457,313721,-83.426574,32.638481
LA,10/18/2020,491,277313,-91.840238,30.921314
CA,10/18/2020,1746,923030,-119.662127,37.211164
NY,10/18/2020,1450,563636,-75.59655,42.921241
OH,10/18/2020,1551,197163,-82.70936,40.415534
MD,10/18/2020,1068,231165,-76.687282,38.946466
WA,10/18/2020,329,89543,-120.592492,47.411715
WA,10/19/2020,261,89804,-120.592492,47.411715
OH,10/19/2020,1619,198782,-82.70936,40.415534
CA,10/19/2020,1200,924230,-119.662127,37.211164
NY,10/19/2020,1927,565563,-75.59655,42.921241
MD,10/19/2020,1109,232274,-76.687282,38.946466
LA,10/19/2020,815,278128,-91.840238,30.921314
FL,10/19/2020,3239,1211874,-82.420978,28.260731
GA,10/19/2020,1753,315474,-83.426574,32.638481
OH,10/2/2020,1257,171072,-82.70936,40.415534
WA,10/2/2020,467,83321,-120.592492,47.411715
LA,10/2/2020,865,265121,-91.840238,30.921314
NY,10/2/2020,1766,538654,-75.59655,42.921241
GA,10/2/2020,1251,296028,-83.426574,32.638481
MD,10/2/2020,1349,213465,-76.687282,38.946466
FL,10/2/2020,2964,1160317,-82.420978,28.260731
CA,10/2/2020,2944,882782,-119.662127,37.211164
WA,10/20/2020,571,90375,-120.592492,47.411715
GA,10/20/2020,1520,316994,-83.426574,32.638481
NY,10/20/2020,1958,567521,-75.59655,42.921241
LA,10/20/2020,912,279040,-91.840238,30.921314
FL,10/20/2020,4568,1216442,-82.420978,28.260731
MD,10/20/2020,1188,233462,-76.687282,38.946466
OH,10/20/2020,2590,201372,-82.70936,40.415534
CA,10/20/2020,1416,925646,-119.662127,37.211164
LA,10/21/2020,940,279980,-91.840238,30.921314
OH,10/21/2020,2676,204048,-82.70936,40.415534
FL,10/21/2020,4527,1220969,-82.420978,28.260731
WA,10/21/2020,495,90870,-120.592492,47.411715
NY,10/21/2020,2163,569684,-75.59655,42.921241
GA,10/21/2020,1713,318707,-83.426574,32.638481
CA,10/21/2020,3409,929055,-119.662127,37.211164
MD,10/21/2020,1671,235133,-76.687282,38.946466
MD,10/22/2020,1780,236913,-76.687282,38.946466
FL,10/22/2020,4390,1225359,-82.420978,28.260731
OH,10/22/2020,2767,206815,-82.70936,40.415534
LA,10/22/2020,868,280848,-91.840238,30.921314
CA,10/22/2020,4656,933711,-119.662127,37.211164
NY,10/22/2020,2143,571827,-75.59655,42.921241
GA,10/22/2020,1630,320337,-83.426574,32.638481
WA,10/22/2020,576,91446,-120.592492,47.411715
WA,10/23/2020,482,91928,-120.592492,47.411715
CA,10/23/2020,4791,938502,-119.662127,37.211164
GA,10/23/2020,1662,321999,-83.426574,32.638481
LA,10/23/2020,914,281762,-91.840238,30.921314
FL,10/23/2020,4486,1229845,-82.420978,28.260731
OH,10/23/2020,2896,209711,-82.70936,40.415534
MD,10/23/2020,1919,238832,-76.687282,38.946466
NY,10/23/2020,2347,574174,-75.59655,42.921241
LA,10/24/2020,604,282366,-91.840238,30.921314
OH,10/24/2020,2456,212167,-82.70936,40.415534
GA,10/24/2020,945,322944,-83.426574,32.638481
CA,10/24/2020,3953,942455,-119.662127,37.211164
NY,10/24/2020,1821,575995,-75.59655,42.921241
MD,10/24/2020,1480,240312,-76.687282,38.946466
FL,10/24/2020,3669,1233514,-82.420978,28.260731
WA,10/24/2020,556,92484,-120.592492,47.411715
CA,10/25/2020,2864,945319,-119.662127,37.211164
MD,10/25/2020,1239,241551,-76.687282,38.946466
FL,10/25/2020,2681,1236195,-82.420978,28.260731
WA,10/25/2020,471,92955,-120.592492,47.411715
NY,10/25/2020,1791,577786,-75.59655,42.921241
OH,10/25/2020,2216,214383,-82.70936,40.415534
GA,10/25/2020,671,323615,-83.426574,32.638481
LA,10/25/2020,376,282742,-91.840238,30.921314
FL,10/26/2020,3636,1239831,-82.420978,28.260731
OH,10/26/2020,2175,216558,-82.70936,40.415534
NY,10/26/2020,1745,579531,-75.59655,42.921241
CA,10/26/2020,1899,947218,-119.662127,37.211164
GA,10/26/2020,1889,325504,-83.426574,32.638481
MD,10/26/2020,1562,243113,-76.687282,38.946466
LA,10/26/2020,692,283434,-91.840238,30.921314
WA,10/26/2020,361,93316,-120.592492,47.411715
MD,10/27/2020,1653,244766,-76.687282,38.946466
NY,10/27/2020,2086,581617,-75.59655,42.921241
LA,10/27/2020,904,284338,-91.840238,30.921314
FL,10/27/2020,5424,1245255,-82.420978,28.260731
GA,10/27/2020,1687,327191,-83.426574,32.638481
CA,10/27/2020,1723,948941,-119.662127,37.211164
OH,10/27/2020,3448,220006,-82.70936,40.415534
WA,10/27/2020,540,93856,-120.592492,47.411715
WA,10/28/2020,625,94481,-120.592492,47.411715
GA,10/28/2020,1775,328966,-83.426574,32.638481
CA,10/28/2020,3094,952035,-119.662127,37.211164
MD,10/28/2020,1879,246645,-76.687282,38.946466
