state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,Longitude,Latitude
FL,7/1/2020,,,-82.420978,28.260731
GA,7/1/2020,,,-83.426574,32.638481
LA,7/1/2020,69.0,,-91.840238,30.921314
MD,7/1/2020,,,-76.687282,38.946466
NY,7/1/2020,0.0,0.0,-75.59655,42.921241
OH,7/1/2020,,,-82.70936,40.415534
WA,7/1/2020,,,-120.592492,47.411715
CA,6/30/2020,,,-119.662127,37.211164
FL,6/30/2020,,,-82.420978,28.260731
GA,6/30/2020,,,-83.426574,32.638481
LA,6/30/2020,80.0,,-91.840238,30.921314
MD,6/30/2020,,,-76.687282,38.946466
NY,6/30/2020,0.0,0.0,-75.59655,42.921241
OH,6/30/2020,,,-82.70936,40.415534
WA,6/30/2020,,,-120.592492,47.411715
CA,6/29/2020,,,-119.662127,37.211164
FL,6/29/2020,,,-82.420978,28.260731
GA,6/29/2020,,,-83.426574,32.638481
LA,6/29/2020,37.0,,-91.840238,30.921314
MD,6/29/2020,,,-76.687282,38.946466
NY,6/29/2020,0.0,0.0,-75.59655,42.921241
OH,6/29/2020,,,-82.70936,40.415534
WA,6/29/2020,,,-120.592492,47.411715
CA,6/28/2020,,,-119.662127,37.211164
FL,6/28/2020,,,-82.420978,28.260731
GA,6/28/2020,,,-83.426574,32.638481
LA,6/28/2020,49.0,,-91.840238,30.921314
MD,6/28/2020,,,-76.687282,38.946466
NY,6/28/2020,0.0,0.0,-75.59655,42.921241
OH,6/28/2020,,,-82.70936,40.415534
WA,6/28/2020,,,-120.592492,47.411715
CA,6/27/2020,,,-119.662127,37.211164
FL,6/27/2020,,,-82.420978,28.260731
GA,6/27/2020,,,-83.426574,32.638481
LA,6/27/2020,54.0,,-91.840238,30.921314
MD,6/27/2020,,,-76.687282,38.946466
NY,6/27/2020,0.0,0.0,-75.59655,42.921241
OH,6/27/2020,,,-82.70936,40.415534
WA,6/27/2020,,,-120.592492,47.411715
CA,6/26/2020,,,-119.662127,37.211164
FL,6/26/2020,,,-82.420978,28.260731
GA,6/26/2020,,,-83.426574,32.638481
LA,6/26/2020,59.0,,-91.840238,30.921314
MD,6/26/2020,,,-76.687282,38.946466
NY,6/26/2020,0.0,0.0,-75.59655,42.921241
